date,mean_score,median_score,std_dev,count
2023-02-18,3.26,4.0,1.75,38
2023-02-19,2.96,2.5,2.19,50
2023-02-20,3.49,3.0,2.77,47
2023-02-21,2.97,3.0,2.53,34
2023-02-22,2.14,2.0,1.92,57
2023-02-23,2.29,2.0,1.75,59
2023-02-24,2.29,2.0,1.37,48
2023-02-25,2.65,3.0,2.27,49
2023-02-26,2.36,2.0,1.71,36
2023-02-27,3.35,3.0,1.67,26
2023-02-28,3.71,4.0,1.83,34
2023-03-01,3.03,3.0,1.7,33
2023-03-02,2.56,2.0,1.74,39
2023-03-03,3.0,3.0,1.59,31
2023-03-04,2.63,3.0,1.63,38
2023-03-05,2.8,3.0,1.53,25
2023-03-06,3.11,3.0,2.19,35
2023-03-07,3.73,4.0,2.32,33
2023-03-08,3.66,4.0,2.5,38
2023-03-09,2.74,3.0,1.57,23
2023-03-10,2.97,3.0,1.5,38
2023-03-11,3.03,3.0,1.71,32
2023-03-12,2.44,3.0,1.76,25
2023-03-13,2.91,3.0,1.78,45
2023-03-14,3.25,3.0,1.76,32
2023-03-15,3.51,4.0,1.52,39
2023-03-16,4.0,4.0,2.49,38
2023-03-17,2.87,3.0,1.66,47
2023-03-18,2.65,2.0,1.4,43
2023-03-19,3.33,4.0,1.26,72
2023-03-20,3.15,3.0,1.98,39
2023-03-21,3.33,3.0,2.37,36
2023-03-22,2.7,2.0,2.04,33
2023-03-23,2.62,3.0,1.5,29
2023-03-24,5.33,4.0,3.65,51
2023-03-25,5.28,5.0,3.51,32
2023-03-26,4.94,5.0,2.98,33
2023-03-27,2.78,2.0,2.06,40
2023-03-28,2.9,3.0,2.36,21
2023-03-29,2.6,3.0,1.33,30
2023-03-30,3.41,3.5,2.78,34
2023-03-31,2.52,2.0,1.49,48
2023-04-01,4.18,4.0,2.67,39
2023-04-02,3.03,3.0,2.15,35
2023-04-03,3.48,4.0,1.87,73
2023-04-04,3.0,3.0,1.88,36
